siren,date_cloture_exercice,ca,resultat_net,type_bilan,annee_cloture_exercice
383960135,2019-12-31,1292079000.0,54420000.0,C,2019
383986874,2021-12-31,2451689663.0,18747245.0,K,2021
383986874,2020-12-31,2511901263.0,49059367.0,K,2020
383986874,2019-12-31,2434489860.0,26815441.0,K,2019
384077657,2022-06-30,37670491.0,-393952.0,C,2021
384077657,2021-06-30,37434420.0,252403.0,C,2020
384077657,2020-06-30,35599399.0,4245.0,C,2019
384077657,2019-06-30,32668291.0,-582987.0,C,2018
384125050,2022-12-31,105666818.0,-15144839.0,C,2022
384125050,2021-12-31,121837345.0,1560344.0,C,2021
384125050,2020-12-31,111638923.0,-11350369.0,C,2020
384125050,2019-12-31,127436459.0,1203053.0,C,2019
384137857,2022-12-31,102082308.0,2357021.0,C,2022
384137857,2021-12-31,101817357.0,3625973.0,C,2021
384137857,2020-12-31,93319360.0,4158654.0,C,2020
384137857,2019-12-31,108474270.0,7647514.0,C,2019
384353413,2022-12-31,0.0,0.0,K,2022
384353413,2021-12-31,366455000.0,100751000.0,K,2021
384353413,2019-12-31,0.0,88973000.0,K,2019
384402871,2022-12-31,363497000.0,92018000.0,K,2022
384402871,2021-12-31,0.0,0.0,K,2021
384402871,2020-12-31,0.0,71552000.0,K,2020
384454690,2021-12-31,109713768.0,1501386.0,C,2021
384454690,2020-12-31,101194221.0,1675844.0,C,2020
384454690,2019-12-31,105282033.0,1405299.0,C,2019
384560942,2022-12-31,7852197139.0,378542076.0,C,2022
384560942,2021-12-31,7473183708.0,392089720.0,C,2021
384560942,2020-12-31,6607737450.0,276316209.0,C,2020
384560942,2019-12-31,6244471851.0,267135216.0,C,2019
384621215,2022-12-31,325734000.0,9627000.0,K,2022
384621215,2021-12-31,270694000.0,6975000.0,K,2021
384621215,2020-12-31,255743000.0,-665000.0,K,2020
384621215,2019-12-31,265725000.0,6155000.0,K,2019
384627170,2022-12-31,286204000.0,-9195000.0,C,2022
384627170,2021-12-31,394195000.0,10457000.0,C,2021
384627170,2020-12-31,394195000.0,10457000.0,C,2020
384627170,2019-12-31,417513000.0,16904000.0,C,2019
384711909,2023-03-31,1089000000.0,0.0,K,2022
384711909,2022-03-31,862743000.0,201962000.0,K,2021
384711909,2021-03-31,583761000.0,72671000.0,K,2020
384711909,2020-03-31,577355000.0,0.0,K,2019
384711909,2019-03-31,0.0,90187000.0,K,2018
384956892,2023-05-31,0.0,3545798.0,C,2022
384956892,2022-05-31,0.0,1933915.0,C,2021
384956892,2021-05-31,85291323.0,54448773.0,C,2020
384956892,2020-05-31,75162043.0,5395921.0,C,2019
384956892,2019-05-31,177173227.0,29342972.0,C,2018
384983482,2022-12-31,40403420.0,1381203.0,C,2022
384983482,2021-12-31,37699697.0,1319130.0,C,2021
384983482,2020-12-31,35765248.0,952082.0,C,2020
384983482,2019-12-31,31970665.0,1024529.0,C,2019
385006234,2023-09-30,526342480.0,491468.0,C,2023
385006234,2022-09-30,449751480.0,-7366130.0,C,2022
385006234,2021-09-30,339898540.0,-7116060.0,C,2021
385006234,2020-09-30,297764999.0,-6908626.0,C,2020
385006234,2019-09-30,237986344.0,990909.0,C,2019
385185806,2020-12-31,19768615.0,-11381.0,C,2020
385185806,2019-12-31,21737463.0,1448220.0,C,2019
385218631,2021-12-31,464787936.0,40958461.0,C,2021
385218631,2021-02-28,403559151.0,36440557.0,C,2020
385218631,2020-02-29,374623927.0,27970318.0,C,2019
385218631,2019-02-28,305557543.0,15379907.0,C,2018
385306238,2023-06-30,0.0,138911.0,C,2022
385306238,2022-06-30,0.0,179240.0,C,2021
385306238,2021-06-30,0.0,92367.0,C,2020
385306238,2020-06-30,0.0,224804.0,C,2019
385306238,2019-06-30,0.0,208336.0,C,2018
385365713,2022-12-31,885857000.0,22817000.0,C,2022
385365713,2021-12-31,2219052000.0,69910000.0,K,2021
385365713,2020-12-31,733772000.0,-24234000.0,C,2020
385365713,2019-12-31,1394548000.0,39826000.0,K,2019
386320212,2022-12-31,132258089.0,2550003.0,K,2022
386320212,2021-12-31,7345819.0,523469.0,C,2021
386320212,2020-12-31,112482407.0,1639414.0,K,2020
386320212,2019-12-31,123233268.0,46595.0,C,2019
386780118,2022-12-31,48778868.0,-266283.0,C,2022
386780118,2021-12-31,43062587.0,-924177.0,C,2021
386780118,2020-12-31,36091471.0,-348792.0,C,2020
386780118,2019-12-31,37268033.0,1323894.0,C,2019
387626393,2022-12-31,135618329.0,5135260.0,C,2022
387626393,2021-12-31,118699653.0,4161889.0,C,2021
387626393,2020-12-31,99189751.0,2725107.0,C,2020
387626393,2019-12-31,112822964.0,3067027.0,C,2019
387681034,2022-12-31,6019728.0,80270.0,C,2022
387681034,2021-12-31,5600055.0,39688.0,C,2021
387681034,2020-12-31,5034514.0,69217.0,C,2020
387681034,2019-12-31,5719332.0,323972.0,C,2019
387744493,2023-02-28,183994397.0,4433030.0,C,2022
387744493,2022-02-28,164551425.0,7867821.0,C,2021
387744493,2021-02-28,140780528.0,4831184.0,C,2020
387744493,2020-02-28,133323923.0,2606669.0,C,2019
387744493,2019-02-28,124394673.0,3110168.0,C,2018
387808595,2021-12-31,10352907.0,383567.0,C,2021
387808595,2020-12-31,8085384.0,308828.0,C,2020
387808595,2019-12-31,7993769.0,601218.0,C,2019
387837032,2021-12-31,98169030.0,7506155.0,C,2021
387837032,2020-12-31,90638050.0,5608256.0,C,2020
387837032,2019-12-31,99890164.0,6366809.0,C,2019
387849037,2022-12-31,28741723.0,-9125228.0,C,2022
387849037,2021-12-31,20256242.0,-9231530.0,C,2021
387849037,2020-12-31,19997051.0,-8630991.0,C,2020
387849037,2019-12-31,32676119.0,-2259203.0,C,2019
387858046,2022-12-31,46829306.0,-15078803.0,C,2022
387858046,2021-12-31,42926863.0,-20007808.0,C,2021
387858046,2020-12-31,35811028.0,-17617504.0,C,2020
387858046,2019-12-31,51581763.0,-22174612.0,C,2019
387879992,2019-08-31,27909738.0,3623344.0,C,2019
387944259,2021-12-31,41956568.0,-200062.0,C,2021
387944259,2020-12-31,41713612.0,-1866333.0,C,2020
387944259,2019-12-31,51968340.0,3057661.0,C,2019
387949530,2022-12-31,901752000.0,14133000.0,K,2022
387949530,2021-12-31,753682000.0,5831000.0,K,2021
387949530,2020-12-31,654798000.0,0.0,K,2020
387949530,2019-12-31,631173000.0,98000.0,K,2019
387981798,2022-12-31,4618422.0,12549.0,C,2022
387981798,2021-12-31,4117589.0,37962.0,C,2021
387981798,2020-12-31,3536858.0,20828.0,C,2020
387981798,2019-12-31,4409575.0,120043.0,C,2019
388021156,2022-12-31,4329804744.0,135485382.0,C,2022
388021156,2021-12-31,3072684042.0,77863796.0,C,2021
388021156,2020-12-31,2303502549.0,20564462.0,C,2020
388021156,2019-12-31,2305139841.0,-55147033.0,C,2019
388035107,2021-12-31,109833168.0,5110276.0,C,2021
388035107,2020-12-31,121426802.0,5191110.0,C,2020
388035107,2019-12-31,126009838.0,2726317.0,C,2019
388046617,2022-12-31,16005992.0,823006.0,C,2022
388046617,2021-12-31,15245039.0,544916.0,C,2021
388046617,2019-12-31,13121792.0,444951.0,C,2019
388055493,2022-12-31,582839594.0,28645997.0,C,2022
388055493,2021-12-31,571474634.0,20260804.0,C,2021
388055493,2020-12-31,486437845.0,16034741.0,C,2020
388055493,2019-12-31,493643012.0,16809579.0,C,2019
388056962,2022-12-31,168947763.0,27598911.0,C,2022
388056962,2021-12-31,145449318.0,18865625.0,C,2021
388056962,2020-12-31,134680948.0,13624065.0,C,2020
388056962,2019-12-31,119032185.0,9054398.0,C,2019
388136368,2021-12-31,47821479.0,1729721.0,C,2021
388136368,2020-12-31,77643932.0,1925530.0,C,2020
388136368,2019-12-31,32989525.0,311227.0,C,2019
388200487,2022-12-31,11595543.0,761637.0,C,2022
388200487,2021-12-31,11343104.0,746846.0,C,2021
388200487,2019-12-31,10178570.0,326753.0,C,2019
388238842,2022-12-31,88951187.0,-2162815.0,C,2022
388238842,2021-12-31,67278802.0,-4894590.0,C,2021
388238842,2020-12-31,55063496.0,-8579194.0,C,2020
388238842,2019-12-31,67129489.0,-910722.0,C,2019
388359531,2022-12-31,728224000.0,0.0,K,2022
388359531,2021-12-31,689492000.0,23985000.0,K,2021
388359531,2020-12-31,573893000.0,8437000.0,K,2020
388359531,2019-12-31,527860000.0,21687000.0,K,2019
388580722,2023-03-31,1512196.0,-64767.0,C,2022
388580722,2022-03-31,1664398.0,4418.0,C,2021
